x,y,z,id,stress_xx,stress_yy,stress_xy
1000,-10000,0,0,-251217638.52836,-251273024.17047,622.13442583829
1000,-9900,0,100,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9800,0,200,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9700,0,300,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9600,0,400,-247549786.25944,-247601719.09581,2351.4856190154
1000,-9500,0,500,-241396313.91961,-241450408.59748,3805.0908124629
1000,-9400,0,600,-241396313.91961,-241450408.59748,3805.0908124629
1000,-9300,0,700,-238260871.2374,-238312272.73673,5330.5256799181
1000,-9200,0,800,-232124497.47082,-232181571.63783,7108.6660243739
1000,-9100,0,900,-232124497.47082,-232181571.63783,7108.6660243739
1000,-9000,0,1000,-232124497.47082,-232181571.63783,7108.6660243739
1000,-8900,0,1100,-231177493.06071,-231237511.66794,6338.057024535
1000,-8800,0,1200,-220721375.99231,-220791909.26938,9355.9773864959
1000,-8700,0,1300,-218890095.11018,-218956185.22321,13458.041292579
1000,-8600,0,1400,-218890095.11018,-218956185.22321,13458.041292579
1000,-8500,0,1500,-218890095.11018,-218956185.22321,13458.041292579
1000,-8400,0,1600,-212881503.67533,-212954570.05277,15664.315908526
1000,-8300,0,1700,-212881503.67533,-212954570.05277,15664.315908526
1000,-8200,0,1800,-209734551.08995,-209815565.95658,16699.507179099
1000,-8100,0,1900,-204439804.81752,-204530733.33363,18931.842432888
1000,-8000,0,2000,-204439804.81752,-204530733.33363,18931.842432888
1000,-7900,0,2100,-202013889.67373,-202099261.11194,24646.924525559
1000,-7800,0,2200,-196661283.9951,-196758692.50488,28252.046869069
1000,-7700,0,2300,-193955171.38081,-194063467.2167,29412.017034884
1000,-7600,0,2400,-193955171.38081,-194063467.2167,29412.017034884
1000,-7500,0,2500,-188916002.97075,-189043454.98921,33756.188046148
1000,-7400,0,2600,-188916002.97075,-189043454.98921,33756.188046148
1000,-7300,0,2700,-185959419.21189,-186075336.27295,43180.674779204
1000,-7200,0,2800,-181449058.18612,-181584924.64145,48418.696884438
1000,-7100,0,2900,-181449058.18612,-181584924.64145,48418.696884438
1000,-7000,0,3000,-179670733.75001,-179819029.25267,47830.365403802
1000,-6900,0,3100,-175500948.22175,-175670394.69965,53399.414891105
1000,-6800,0,3200,-174789200.99044,-174945456.56435,61826.631963682
1000,-6700,0,3300,-168623319.15547,-168808678.84756,75919.358466378
1000,-6600,0,3400,-167142005.03243,-167348251.38071,78535.141880376
1000,-6500,0,3500,-167142005.03243,-167348251.38071,78535.141880376
1000,-6400,0,3600,-162995688.50393,-163235137.4666,87972.337088675
1000,-6300,0,3700,-161095534.27606,-161309454.63294,105525.81067452
1000,-6200,0,3800,-157179725.28798,-157423216.46338,117284.79682204
1000,-6100,0,3900,-155061777.82985,-155346072.17999,129294.17393755
1000,-6000,0,4000,-151178877.71659,-151505114.78318,144406.91216424
1000,-5900,0,4100,-151178877.71659,-151505114.78318,144406.91216424
1000,-5800,0,4200,-149351501.60538,-149632724.67152,171039.46168464
1000,-5700,0,4300,-143820429.27572,-144198464.08661,210371.79455671
1000,-5600,0,4400,-143820429.27572,-144198464.08661,210371.79455671
1000,-5500,0,4500,-140361532.79667,-140801859.9665,232696.08780836
1000,-5400,0,4600,-138882863.20849,-139242707.92472,272880.18522032
1000,-5300,0,4700,-133710250.62811,-134213021.26172,336585.24002073
1000,-5200,0,4800,-133710250.62811,-134213021.26172,336585.24002073
1000,-5100,0,4900,-130428508.40361,-131008665.20735,373594.60295066
1000,-5000,0,5000,-128739739.18006,-129193029.96819,428318.59141138
1000,-4900,0,5100,-123958398.33905,-124617928.45089,547236.67672943
1000,-4800,0,5200,-123958398.33905,-124617928.45089,547236.67672943
1000,-4700,0,5300,-119734904.40452,-120328870.30861,672117.93059419
1000,-4600,0,5400,-117360146.96352,-118061617.92457,722867.36978948
1000,-4500,0,5500,-112921786.77997,-113634092.67786,970485.97323213
1000,-4400,0,5600,-112921786.77997,-113634092.67786,970485.97323213
1000,-4300,0,5700,-110566296.29068,-111293587.18284,1033370.388857
1000,-4200,0,5800,-106304847.82072,-106966168.94033,1397425.4532581
1000,-4100,0,5900,-104165504.15687,-104810661.37654,1480338.6044329
1000,-4000,0,6000,-103377812.55179,-103617927.73565,1536491.9837171
1000,-3900,0,6100,-100337076.83057,-100846831.81105,2030397.4678974
1000,-3800,0,6200,-97829686.184033,-97817031.810754,2196479.8332565
1000,-3700,0,6300,-96110377.727293,-95929800.718946,2331266.11097
1000,-3600,0,6400,-93490284.724766,-92929622.139367,3025260.211754
1000,-3500,0,6500,-91794654.317987,-90309018.66164,3105107.8788959
1000,-3400,0,6600,-88104670.554397,-85746476.693291,4189186.9047093
1000,-3300,0,6700,-86717411.05401,-83771032.28776,5316195.7022807
1000,-3200,0,6800,-84631883.90177,-75906696.294602,6313594.1772023
1000,-3100,0,6900,-86263059.651721,-72383938.910318,5773109.7577355
1000,-3000,0,7000,-85848803.612038,-66023647.221655,-329285.97439635
1000,-2900,0,7100,-80710738.257454,-66860843.916199,-5906247.2537325
1000,-2800,0,7200,-74431049.210371,-65342794.665583,-5503954.4452493
1000,-2700,0,7300,-70682690.561046,-66272778.89605,-5114387.483234
1000,-2600,0,7400,-68562478.36333,-66103982.879192,-4047428.5182278
1000,-2500,0,7500,-65278937.221651,-63633434.703783,-3580086.9561722
1000,-2400,0,7600,-62471098.031969,-61643326.417082,-2953439.6831781
1000,-2300,0,7700,-59223189.694529,-58823620.409274,-2520066.8726357
1000,-2200,0,7800,-58119451.966591,-58070276.559618,-2449957.4525025
1000,-2100,0,7900,-53391306.055389,-53776051.101243,-1981611.1721463
1000,-2000,0,8000,-50782887.17968,-51026891.358579,-1635990.9313542
1000,-1900,0,8100,-48246932.498194,-48876368.19496,-1551125.1464981
1000,-1800,0,8200,-45346172.55304,-45828730.660229,-1309560.4329459
1000,-1700,0,8300,-44395760.698458,-45128634.347879,-1254008.6223197
1000,-1600,0,8400,-41226172.346615,-41822884.494628,-1051248.8866167
1000,-1500,0,8500,-39282633.074101,-39930105.788442,-1003678.5905342
1000,-1400,0,8600,-35840280.374463,-36335520.018817,-838294.15857295
1000,-1300,0,8700,-32713826.101919,-33344362.322797,-742724.9704362
1000,-1200,0,8800,-31288907.450446,-31803405.049209,-664914.02175117
1000,-1100,0,8900,-29023929.298202,-29507478.939214,-623798.35290863
1000,-1000,0,9000,-24156004.229316,-24642899.132454,-487163.59734561
1000,-900,0,9100,-21665614.229537,-22108858.628291,-447113.24107221
1000,-800,0,9200,-19984771.373803,-20384578.16296,-406690.97530886
1000,-700,0,9300,-17427131.437485,-17792794.636161,-366707.08086977
1000,-600,0,9400,-16437576.034005,-16893147.95688,-339242.2896424
1000,-500,0,9500,-11492720.99528,-11919944.547294,-252634.12801794
1000,-400,0,9600,-8351828.3109818,-8725367.5041549,-205477.65314293
1000,-300,0,9700,-8351828.3109818,-8725367.5041549,-205477.65314293
1000,-200,0,9800,-2977824.1673439,-3376704.1479966,-74705.93198183
1000,-100,0,9900,-1301566.0190311,-1818514.5362825,-64875.395380152
1000,0,0,10000,-1301566.0190311,-1818514.5362825,-64875.395380152
